gene.Name chr Start End
GLT25D2 1 182174845 182255938
C1orf21 1 182638509 182843940
FAM129A 1 183096671 183188204
HMCN1 1 183984735 184380475
PLA2G4A 1 185113221 185220818
FAM5C 1 188370938 188636131
KCNT2 1 194548425 194769459
CRB1 1 195568310 195628194
PTPRC 1 196888666 196973840
NR5A2 1 198298313 198404272
CACNA1S 1 199280570 199338507
PKP1 1 199525142 199562337
CSRP1 1 199723422 199732462
NAV1 1 199898907 200006553
LGR6 1 200455239 200550290
ADORA1 1 201366921 201397908
ATP2B4 1 201884014 201965002
PLEKHA6 1 202486855 202585606
LRRN2 1 202879141 202899104
NFASC 1 203108803 203185693
CNTN2 1 203282051 203307349
MFSD4 1 203825025 203835013
IL19 1 205041590 205078081
CR1 1 205737551 205869644
PLXNA2 1 206301726 206462807
LAMB3 1 207867599 207892009
HHAT 1 208643132 208830427
KCNH1 1 208942324 209291737
ATF3 1 210822568 210845130
PTPN14 1 212711394 212778874
KCNK2 1 213289445 213433871
ESRRG 1 215107424 215313263
GPATCH2 1 215675796 215776513
MOSC1 1 219027538 219047981
DUSP10 1 219947474 219974439
DISP1 1 221183546 221239258
CAPN2 1 221970549 222020093
CNIH3 1 222885901 222989657
DNAH14 1 223309545 223612795
ENAH 1 223794151 223871477
C1orf95 1 224808380 224845209
ITPKB 1 224912951 224985742
CDC42BPA 1 225258279 225482870
OBSCN 1 226498553 226609926
GALNT2 1 228278021 228421871
PGBD5 1 228529471 228578527
CAPN9 1 228957956 228992087
C1orf198 1 229045349 229061216
DISC1 1 230053772 230154072
PCNXL2 1 231190836 231385420
KCNK1 1 231824344 231863274
GNG4 1 233787521 233820711
NID1 1 234220988 234281870
ERO1LB 1 234451983 234507660
EDARADD 1 234672456 234691913
ACTN2 1 234927416 234978374
FMN2 1 238416539 238672317
GREM2 1 238760625 238840289
KMO 1 239763707 239787453
OPN3 1 239833174 239846830
PLD5 1 240469013 240731095
AKT3 1 241724022 241964397
C1orf101 1 242711007 242860509
EFCAB2 1 243228691 243348046
KIF26B 1 243557263 243920796
PXDN 2 1627839 1713968
MYT1L 2 1785886 2263090
ALLC 2 3692946 3727421
LOC150622 2 5992743 6018448
LOC339788 2 8010409 8019566
ASAP2 2 9298717 9458832
GRHL1 2 10012443 10058102
HPCAL1 2 10367849 10481364
NOL10 2 10634733 10746867
ATP6V1C2 2 10789036 10829003
GREB1 2 11592597 11686323
LPIN1 2 11816382 11847730
NBAS 2 15244285 15567831
FAM49A 2 16603848 16663875
APOB 2 21095010 21113117
EFR3B 2 25167690 25216019
DNMT3A 2 25326288 25383532
DTNB 2 25466318 25696646
OTOF 2 26536150 26618359
CIB4 2 26663110 26697187
BRE 2 28006605 28338786
PLB1 2 28585206 28704635
FAM179A 2 29062160 29127223
ALK 2 29431755 29585292
LCLAT1 2 30549711 30685312
CAPN13 2 30811184 30881014
GALNT14 2 31054949 31197944
CAPN14 2 31257505 31293268
BIRC6 2 32497032 32638062
LOC285045 2 32918909 33008686
LTBP1 2 33028249 33476810
CRIM1 2 36485456 36545670
FEZ2 2 36638673 36663000
HEATR5B 2 37086769 37117012
PRKD3 2 37349296 37392955
FAM82A1 2 38096651 38136239
C2orf58 2 38230073 38259373
EML4 2 42270007 42356534
PLEKHH2 2 43766724 43800822
C2orf34 2 44474314 44834623
PRKCE 2 45783803 46112445
EPAS1 2 46392298 46452072
LOC100134259 2 46919203 46937708
FBXO11 2 47894881 47972950
GTF2A1L 2 48700601 48809187
FSHR 2 49054636 49170652
NRXN1 2 50099333 50791637
ACYP2 2 54208781 54364730
EML6 2 54830274 55035536
CCDC88A 2 55372246 55429973
EFEMP1 2 55949498 56002979
CCDC85A 2 56301184 56445301
BCL11A 2 60561092 60614141
COMMD1 2 62051382 62193184
EHBP1 2 62808891 63085038
C2orf86 2 63326947 63665652
MEIS1 2 66529871 66645613
ARHGAP25 2 68850754 68898133
ANTXR1 2 69123716 69262533
AAK1 2 69569349 69641968
ANXA4 2 69832794 69902038
ADD2 2 70749570 70811316
DYSF 2 71536458 71761438
EXOC6B 2 72267102 72867344
ALMS1 2 73512964 73652658
HK2 2 74926431 74960709
FAM176A 2 75598589 75646134
LRRTM4 2 76848492 77560055
CTNNA2 2 79718757 80718514
DNAH6 2 84752759 84889451
GPAT2 2 96535852 96961304
CNGA3 2 98341726 98372033
C2orf55 2 98801190 98906533
AFF3 2 99571930 100105873
NPAS2 2 100809935 100946243
MAP4K4 2 101726355 101862349
IL1RL2 2 102186026 102221197
FHL2 2 105351660 105402889
NCK2 2 105833938 105865091
EDAR 2 108906206 108966551
ACOXL 2 111284252 111479961
PAX8 2 113700504 113745190
DPP10 2 114995208 116028631
hCG_17324 2 120048446 120089487
GLI2 2 121307157 121425911
CNTNAP5 2 124748687 125249741
GYPC 2 127132048 127162292
HS6ST1 2 128743219 128784704
ARHGEF4 2 131401133 131501241
POTEB 2 131812909 132063133
GPR39 2 132911019 132999524
NCKAP5 2 133165331 133966563
MGAT5 2 134738798 134920042
NXPH2 2 139164070 139222241
LRP1B 2 141376765 142591415
KYNU 2 143381173 143504218
ARHGAP15 2 143755609 144207373
GTDC1 2 144494988 144681706
LYPD6B 2 149614988 149711688
LYPD6 2 149901271 149959181
NEB 2 152056431 152175247
CACNB4 2 152513084 152648748
FMNL2 2 152976992 153206156
GALNT13 2 154440383 154934923
KCNJ3 2 155356065 155413315
GPD2 2 157008191 157132783
CCDC148 2 158740491 158982695
PKP4 2 159145034 159234707
BAZ2B 2 159898001 160051321
LY75 2 160371924 160437088
PLA2R1 2 160516560 160616115
ITGB6 2 160690042 160763561
KCNH7 2 163154045 163324199
FIGN 2 164206192 164295693
GRB14 2 165119448 165175781
COBLL1 2 165273794 165372883
CSRNP3 2 166162289 166226490
LASS6 2 169040329 169277223
NOSTRIN 2 169373367 169427148
ABCB11 2 169522901 169589746
LRP2 2 169754899 169917221
MYO3B 2 170950373 171204146
ITGA6 2 173002700 173053715
OLA1 2 174652915 174808833
CHN1 2 175382709 175508468
PDE11A 2 178248539 178561624
OSBPL6 2 178829289 178950772
CERKL 2 182112384 182212528
PPP1R1C 2 182568497 182655537
PDE1A 2 182888329 183012848
C2orf88 2 190716370 190768514
HECW2 2 196882984 197041792
ANKRD44 2 197605805 197748829
PLCL1 2 198587702 198707471
AOX1 2 201164635 201235583
CASP8 2 201822271 201836863
MPP4 2 202247337 202263377
PFTK2 2 202399044 202457912
PARD3B 2 205317760 206151283
NRP2 2 206294657 206353492
ADAM23 2 207064578 207174075
DYTN 2 207226429 207278048
KLF7 2 207655331 207724413
PLEKHM3 2 208421272 208542505
MAP2 2 210020778 210264021
CPS1 2 211066845 211237623
ERBB4 2 212126355 212599382
IKZF2 2 213615387 213680749
ABCA12 2 215539988 215693775
FN1 2 215940366 216007874
MREG 2 216531929 216584772
4-Mar 2 216861325 216938723
DIRC3 2 217886714 218190281
EPHA4 2 221996113 222115686
PAX3 2 222823955 222856536
ACSL3 2 223435147 223510630
DOCK10 2 225438433 225568161
KIAA1486 2 226061042 226212730
COL4A4 2 227619905 227718789
COL4A3 2 227748664 227801218
C2orf83 2 228184813 228197454
PID1 2 229640616 229830491
DNER 2 230035887 230226477
CAB39 2 231337604 231389545
ARMC9 2 231865458 231914269
DIS3L2 2 232692444 232874506
EFHD1 2 233238814 233246636
NGEF 2 233457922 233580652
INPP5D 2 233663967 233705301
DGKD 2 233932358 233988000
AGAP1 2 236072600 236626438
IQCA1 2 236906591 237069079
COL6A3 2 237905562 237963969
MLPH 2 238062111 238098704
LRRFIP1 2 238225822 238259527
HDAC4 2 239666268 239945517
NDUFA10 2 240570136 240604553
ANKMY1 2 241091399 241113588
PASK 2 241704700 241721733
CHL1 3 263775 394143
CNTN6 3 1189696 1350581
CNTN4 3 2462197 3006308
IL5RA 3 3100441 3124791
ITPR1 3 4563013 4837336
GRM7 3 7003319 7701861
LMCD1 3 8520478 8576334
IRAK2 3 10192965 10234143
ATP2B2 3 10377445 10481883
HRH1 3 11167695 11224695
C3orf31 3 11828897 11861451
PPARG 3 12319636 12450162
IQSEC1 3 12949143 13063312
FBLN2 3 13596533 13640927
GRIP2 3 14533161 14557943
FGD5 3 14862186 14940511
GALNTL2 3 16202432 16234908
PLCL2 3 16918882 17045586
KCNH8 3 19357791 19486940
KAT2B 3 20129063 20167150
CMC1 3 28261265 28304153
GADL1 3 30800864 30861821
OSBPL10 3 31727441 31992810
CMTM8 3 32291119 32376997
CMTM7 3 32420250 32448516
ARPP-21 3 35692393 35771720
ITGA9 3 37491140 37796611
CTDSPL 3 37944699 37985712
MYRIP 3 39828198 40248504
LOC729085 3 43000990 43050422
CDCP1 3 45107641 45161724
LARS2 3 45424377 45451698
FYCO1 3 45954027 46009090
LTF 3 46454212 46479320
LRRC2 3 46543161 46592315
CACNA1D 3 53531263 53766988
CACNA2D3 3 54216922 54904540
ERC2 3 55577868 55964558
ARHGEF3 3 56773789 57009146
IL17RD 3 57108178 57170316
DNAH12 3 57330068 57483052
FLNB 3 57984412 58116280
PTPRG 3 61629229 62153561
CADPS 3 62505099 62783198
PRICKLE2 3 64072896 64159996
ADAMTS9 3 64507294 64643903
MAGI1 3 65711186 65883528
LRIG1 3 66529510 66619267
FAM19A1 3 68276983 68665739
FAM19A4 3 68892979 69048242
FRMD4B 3 69390575 69472532
MITF 3 69877742 70087971
FOXP1 3 71164555 71583767
EIF4E3 3 71828378 71868740
PDZRN3 3 73542463 73726091
CNTN3 3 74562933 74612355
CADM2 3 85922061 86194924
EPHA3 3 89269238 89452797
EPHA6 3 98508607 98934754
OR5H14 3 99372038 99508460
COL8A1 3 100848882 100910846
FILIP1L 3 101066174 101268979
ABI3BP 3 101982380 102184539
ALCAM 3 106691352 106753240
CBLB 3 106863214 107002006
BBX 3 108792917 108999537
HHLA2 3 109519838 109560660
MYH15 3 109597726 109679568
PLCXD2 3 112878258 112945260
PHLDB2 3 113050584 113169710
BOC 3 114419299 114468156
GAP43 3 116831846 116905919
LSAMP 3 117065052 117553596
IGSF11 3 120122213 120303200
B4GALT4 3 120421311 120430946
CDGAP 3 120500072 120605623
CD80 3 120734475 120759999
HGD 3 121847700 121883105
FBXO40 3 122797010 122822706
CASR 3 123461919 123480795
PARP15 3 123785363 123829598
PDIA5 3 124292090 124345469
ADCY5 3 124561849 124617500
MYLK 3 124878445 125007524
KALRN 3 125598178 125885055
ITGB5 3 125968969 126074829
HEG1 3 126204193 126247104
ALDH1L1 3 127336301 127368251
CHCHD6 3 127916914 128090913
MGLL 3 128932251 129004070
EEFSEC 3 129449481 129588973
COL29A1 3 131584687 131631450
NEK11 3 132278543 132489348
CPNE4 3 132865247 133215110
NCRNA00119 3 133926351 134057434
RAB6B 3 135032628 135064149
EPHB1 3 136153847 136432049
NMNAT3 3 140789850 140867947
CLSTN2 3 141178643 141678965
CPB1 3 150032525 150056374
CLRN1 3 152129002 152169235
CLRN1OS 3 152201282 152264872
MED12L 3 152309880 152536588
P2RY12 3 152549697 152584995
MBNL1 3 153482619 153591252
MME 3 156290571 156364140
PLCH1 3 156723308 156890928
KCNAB1 3 157502655 157728415
LEKR1 3 158030540 158226172
IQCJ 3 160291332 160462708
PPM1L 3 161962668 162233128
MECOM 3 170367722 170805583
PLD1 3 172886817 172997525
FNDC3B 3 173485649 173585423
NCEH1 3 173850567 173889049
NLGN1 3 174659447 175046790
NAALADL2 3 176132712 176604463
KCNMB2 3 179786447 180019418
PEX5L 3 181054136 181225431
LAMP3 3 184330084 184362342
MCF2L2 3 184406992 184574024
MAP3K13 3 186584193 186645679
IGF2BP2 3 186903006 187011774
DGKG 3 187361281 187531379
ADIPOQ 3 188054180 188238604
MASP1 3 188447962 188474766
LPP 3 189437108 189747012
LEPREL1 3 191160437 191312925
CLDN1 3 191510966 191519713
IL1RAP 3 191737886 191796201
FGF12 3 193536935 193809372
C3orf59 3 194075842 194097002
ATP13A5 3 194490737 194577075
OPA1 3 194804570 194894399
C3orf21 3 196332466 196411317
PAK2 3 197965421 198034139
DLG1 3 198262835 198491943
